protein_id	fasta_headers	gene_symbols_or_id	OE01897_Astroc_DIA_AA15_dil1n2_250ng	OE01879_Astroc_DIA_AA21_dil1n2_250ng	OE01903_Astroc_DIA_AA03_dil1n2_250ng	OE01901_Astroc_DIA_AA06_dil1n2_250ng	OE01923_Astroc_DIA_AA13_dil1n2_250ng	OE01925_Astroc_DIA_AA16_dil1n2_250ng	OE01919_Astroc_DIA_AA19_dil1n2_250ng
P0DOX8	>sp|P0DOX8|IGL1_HUMAN Immunoglobulin lambda-1 light chain OS=Homo sapiens OX=9606 PE=1 SV=1	sp|P0DOX8|IGL1_HUMAN	22.778168110947	23.1133701919106	22.9653051786134	22.5193043164118	21.3826829464935	22.8295404485102	23.5930131527033
P01023	>sp|P01023|A2MG_HUMAN Alpha-2-macroglobulin OS=Homo sapiens OX=9606 GN=A2M PE=1 SV=3	A2M	20.7405889353722	21.9513406590822	21.3964310981325	20.5008723126148	20.4734124034606	21.7436478113051	22.7909847832424
Q9NRG9	>sp|Q9NRG9|AAAS_HUMAN Aladin OS=Homo sapiens OX=9606 GN=AAAS PE=1 SV=1	AAAS	19.6951680982947	17.5964925755566	19.628634584331	19.8496574365265	21.6375296126726	22.0931745708199	21.6089522227797
Q2M2I8	>sp|Q2M2I8|AAK1_HUMAN AP2-associated protein kinase 1 OS=Homo sapiens OX=9606 GN=AAK1 PE=1 SV=3	AAK1	19.7715226829884	18.975357069621	19.409324026941	19.8697318064822	20.4358318975832	20.0563502629692	20.2769991566978
Q9H7C9	>sp|Q9H7C9|AAMDC_HUMAN Mth938 domain-containing protein OS=Homo sapiens OX=9606 GN=AAMDC PE=1 SV=1	AAMDC	22.2210232417863	21.8722160155544	22.450671852879	22.3267716494793	20.6940977744692	20.3541860625336	20.7596352420346
Q13685	>sp|Q13685|AAMP_HUMAN Angio-associated migratory cell protein OS=Homo sapiens OX=9606 GN=AAMP PE=1 SV=2	AAMP	17.210712251295		18.2229593488376	18.4550764032965	17.5083792991665	17.5512328758327	17.5458368898981
P49588	>sp|P49588|SYAC_HUMAN Alanine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=AARS1 PE=1 SV=2	AARS1	23.9020830311868	23.9896466591813	23.8482860865671	24.0636997774973	21.9766002561507	22.2468407235057	22.2662441271022
Q9BTE6	>sp|Q9BTE6|AASD1_HUMAN Alanyl-tRNA editing protein Aarsd1 OS=Homo sapiens OX=9606 GN=AARSD1 PE=1 SV=2	AARSD1	17.2707739855013	18.8966147721427	17.8828479439402	17.7859067606172	19.1477929609087	19.0946570467198	19.6029510558621
P80404	>sp|P80404|GABT_HUMAN 4-aminobutyrate aminotransferase, mitochondrial OS=Homo sapiens OX=9606 GN=ABAT PE=1 SV=3	ABAT	20.1036472521941	20.1998427116252	21.0932485348011	19.9004396283044	19.11407029103	19.8567822888759	20.6313601379319
O95477	>sp|O95477|ABCA1_HUMAN Phospholipid-transporting ATPase ABCA1 OS=Homo sapiens OX=9606 GN=ABCA1 PE=1 SV=3	ABCA1	19.5676992744525	19.8283421510754	19.8523644561443	19.795166028941	19.2473337398806	19.5532981859584	20.5355422769411
