protein_id	fasta_headers	gene_symbols_or_id	OE01912_Astroc_DIA_AA01_dil1n2_250ng	OE01927_Astroc_DIA_AA04_dil1n2_250ng	OE01886_Astroc_DIA_AA07_dil1n2_250ng	OE01914_Astroc_DIA_AA10_dil1n2_250ng	OE01892_Astroc_DIA_AA02_dil1n2_250ng	OE01921_Astroc_DIA_AA05_dil1n2_250ng	OE01877_Astroc_DIA_AA08_dil1n2_250ng	OE01875_Astroc_DIA_AA11_dil1n2_250ng
Q6ZSR9	>sp|Q6ZSR9|YJ005_HUMAN Uncharacterized protein FLJ45252 OS=Homo sapiens OX=9606 PE=2 SV=2	sp|Q6ZSR9|YJ005_HUMAN	20.1548812265308	20.2529711955506	20.1722568696024	20.9078949101081	19.9582517024171	20.266192727393	19.9223413691286	19.8006620358132
P01023	>sp|P01023|A2MG_HUMAN Alpha-2-macroglobulin OS=Homo sapiens OX=9606 GN=A2M PE=1 SV=3	A2M	22.6556377763907	21.7335624397245	21.8225013197706	21.0366181051218	22.2992562383871	21.6571610336475	20.2256618987277	20.9526649483193
Q9NRG9	>sp|Q9NRG9|AAAS_HUMAN Aladin OS=Homo sapiens OX=9606 GN=AAAS PE=1 SV=1	AAAS	20.7372517329236	21.0311805852279	21.0342775847699	20.6054068705649	20.8950649913334	20.7424594136286	20.7016409477836	20.6035761550105
Q2M2I8	>sp|Q2M2I8|AAK1_HUMAN AP2-associated protein kinase 1 OS=Homo sapiens OX=9606 GN=AAK1 PE=1 SV=3	AAK1	20.0375874663136	20.1716694407651	20.0674772298018	20.8517697145999	19.9445409354957	20.3970067003884	20.5477800749266	20.2525484857887
Q9H7C9	>sp|Q9H7C9|AAMDC_HUMAN Mth938 domain-containing protein OS=Homo sapiens OX=9606 GN=AAMDC PE=1 SV=1	AAMDC	21.2610555453823	21.4907674562167	21.3594361547112	21.6984159467665	21.6475319554613	22.0542601987063	22.1929440759729	21.7772887931677
Q13685	>sp|Q13685|AAMP_HUMAN Angio-associated migratory cell protein OS=Homo sapiens OX=9606 GN=AAMP PE=1 SV=2	AAMP	20.0321955406957	20.4685550749082	20.6373466554719	20.8920513501528	20.6336070069249	20.9490536788553	20.8022888257929	20.5146395900346
Q9Y312	>sp|Q9Y312|AAR2_HUMAN Protein AAR2 homolog OS=Homo sapiens OX=9606 GN=AAR2 PE=1 SV=2	AAR2	17.9117584229686	17.6067408040979	17.7024803815298	18.7236113668838	17.5147193777843	18.2380640046481	18.0646462644436	17.1870168497226
P49588	>sp|P49588|SYAC_HUMAN Alanine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=AARS1 PE=1 SV=2	AARS1	22.4705702493913	23.0833677695537	23.3058964187146	24.0310320847975	22.7287288372506	23.1748332949672	23.676591890656	22.9015540312655
Q5JTZ9	>sp|Q5JTZ9|SYAM_HUMAN Alanine--tRNA ligase, mitochondrial OS=Homo sapiens OX=9606 GN=AARS2 PE=1 SV=1	AARS2	20.3396046284441	19.636047335465	18.8705168758934	19.1169750053104	19.7812986136398	19.3753168707707	18.8553213154637	19.2426194271311
Q9BTE6	>sp|Q9BTE6|AASD1_HUMAN Alanyl-tRNA editing protein Aarsd1 OS=Homo sapiens OX=9606 GN=AARSD1 PE=1 SV=2	AARSD1	20.6051882519773	20.5769183108782	20.6967084239217	21.1047618235456	20.3973689809752	20.8963519789553	21.1544970826494	20.5693037143902
Q9NRN7	>sp|Q9NRN7|ADPPT_HUMAN L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase OS=Homo sapiens OX=9606 GN=AASDHPPT PE=1 SV=2	AASDHPPT	22.0945444689593	22.6229697328405	22.272006455448	22.812031467009	22.0679113707492	20.1387785567026	22.7194459836735	22.0046806845158
Q9UDR5	>sp|Q9UDR5|AASS_HUMAN Alpha-aminoadipic semialdehyde synthase, mitochondrial OS=Homo sapiens OX=9606 GN=AASS PE=1 SV=1	AASS	21.0854016290511	20.4046411427415	20.6072303103941	20.4892212774938	21.105594489575	20.3289708643685	20.1393094007934	20.2893973820353
Q9NY61	>sp|Q9NY61|AATF_HUMAN Protein AATF OS=Homo sapiens OX=9606 GN=AATF PE=1 SV=1	AATF	18.8399710360691	19.1736808665266	19.5212639045138	19.5411334745365	19.1561216953361	18.6413832678791	18.2699648517342	18.2938046317065
P80404	>sp|P80404|GABT_HUMAN 4-aminobutyrate aminotransferase, mitochondrial OS=Homo sapiens OX=9606 GN=ABAT PE=1 SV=3	ABAT	21.4022937463949	20.0241596420023	20.7370727383077	19.5131835432841	21.0907813395796	19.9832753698169	19.6232572914329	20.7503554103736
O95477	>sp|O95477|ABCA1_HUMAN Phospholipid-transporting ATPase ABCA1 OS=Homo sapiens OX=9606 GN=ABCA1 PE=1 SV=3	ABCA1	20.9253394879605	20.9089329497733	19.4119124759464	19.9921211780912	21.0140456680704	20.7464466780946	19.8684861287488	20.8028476412402
Q99758	>sp|Q99758|ABCA3_HUMAN Phospholipid-transporting ATPase ABCA3 OS=Homo sapiens OX=9606 GN=ABCA3 PE=1 SV=2	ABCA3	22.157698613259		22.5944949191163	21.0231527215495	22.5787097815678	22.4706647296509	22.4200859894328	22.2081032413773
Q8N139	>sp|Q8N139|ABCA6_HUMAN ATP-binding cassette sub-family A member 6 OS=Homo sapiens OX=9606 GN=ABCA6 PE=1 SV=2	ABCA6	20.5344142257765	20.6120236783752	20.1851819195362	20.3860426911583	20.5159707986462	20.1255350995048	20.6191542626533	19.8472505373172
Q9NP58	>sp|Q9NP58|ABCB6_HUMAN ATP-binding cassette sub-family B member 6 OS=Homo sapiens OX=9606 GN=ABCB6 PE=1 SV=1	ABCB6	26.586565194079	26.9195269292643	26.6330542274501	27.2846966613081	27.0632906515284	25.7888588592955	27.3946897439605	26.9710920812279
O75027	>sp|O75027|ABCB7_HUMAN Iron-sulfur clusters transporter ABCB7, mitochondrial OS=Homo sapiens OX=9606 GN=ABCB7 PE=1 SV=2	ABCB7	21.2712056860803	20.2080035868417	19.4597035267184	19.1575487243567	20.196019016896	19.812101007367	19.2780763133239	20.4728634135847
Q9NUT2	>sp|Q9NUT2|MITOS_HUMAN Mitochondrial potassium channel ATP-binding subunit OS=Homo sapiens OX=9606 GN=ABCB8 PE=1 SV=3	ABCB8	18.254824430744	17.7003345278408	17.6414217557808	17.9508597237164	18.0262481121109	17.549328112585	17.6476146099381	17.6756842794656
Q9NP78	>sp|Q9NP78|ABCB9_HUMAN ABC-type oligopeptide transporter ABCB9 OS=Homo sapiens OX=9606 GN=ABCB9 PE=1 SV=1	ABCB9	22.4155700224948	22.0261238906208	22.4628192846684	21.9492738618495	21.8840041913156		20.2218921767658	21.5412362348255
P33527	>sp|P33527|MRP1_HUMAN Multidrug resistance-associated protein 1 OS=Homo sapiens OX=9606 GN=ABCC1 PE=1 SV=3	ABCC1	20.7023506515999	20.2697977309414	19.7157569169356	19.8493013006823	20.431720898457	20.1658963087469	19.7218822096805	20.1631629527779
P33897	>sp|P33897|ABCD1_HUMAN ATP-binding cassette sub-family D member 1 OS=Homo sapiens OX=9606 GN=ABCD1 PE=1 SV=2	ABCD1	21.4685168837291	20.7593965903156	20.807162411232	19.6681026110834	21.2494170200209	20.7243774823657	20.5600468653881	20.6944093003917
P28288	>sp|P28288|ABCD3_HUMAN ATP-binding cassette sub-family D member 3 OS=Homo sapiens OX=9606 GN=ABCD3 PE=1 SV=1	ABCD3	22.2243947604106	21.6487407913028	21.7813035631049	21.2934021627091	22.3322665355935	21.6652216813623	21.8290583351777	22.0433322139446
P61221	>sp|P61221|ABCE1_HUMAN ATP-binding cassette sub-family E member 1 OS=Homo sapiens OX=9606 GN=ABCE1 PE=1 SV=1	ABCE1	21.5674087453033	22.1972858664461	22.0659707581045	22.6683928188682	22.0813282197068	22.4461054429545	22.5649986779061	22.2347714503662
Q8NE71	>sp|Q8NE71|ABCF1_HUMAN ATP-binding cassette sub-family F member 1 OS=Homo sapiens OX=9606 GN=ABCF1 PE=1 SV=2	ABCF1	21.1550400617247	21.4609864082503	21.8196880332572	21.9420848738409	21.5703661752317	21.9752176105574	22.2204957323372	21.451365963061
Q9UG63	>sp|Q9UG63|ABCF2_HUMAN ATP-binding cassette sub-family F member 2 OS=Homo sapiens OX=9606 GN=ABCF2 PE=1 SV=2	ABCF2		19.4545753260713	20.480246098551	21.1933130706208	20.4491661658904	21.028479377709	21.5714925043284	21.3733521715487
Q9NUQ8	>sp|Q9NUQ8|ABCF3_HUMAN ATP-binding cassette sub-family F member 3 OS=Homo sapiens OX=9606 GN=ABCF3 PE=1 SV=2	ABCF3	19.76592352652	19.6224778863299	20.0294758076688	20.174467301134	20.2971107020561	20.5421514713578	20.5115423232163	20.3010498721368
Q9NUJ1	>sp|Q9NUJ1|ABHDA_HUMAN Palmitoyl-protein thioesterase ABHD10, mitochondrial OS=Homo sapiens OX=9606 GN=ABHD10 PE=1 SV=1	ABHD10	23.3121006596306	22.6116706375733	22.7613800484798	22.9752625579623	23.1579553383206	22.7153155349579	22.8180858025463	23.2300257859171
Q8NFV4	>sp|Q8NFV4|ABHDB_HUMAN sn-1-specific diacylglycerol lipase ABHD11 OS=Homo sapiens OX=9606 GN=ABHD11 PE=1 SV=2	ABHD11	22.5594755190198	22.5711611636965	21.7801407228892	21.51259179994	21.6221329450451	22.0396100692032	21.6947972738554	21.8553090419031
Q8N2K0	>sp|Q8N2K0|ABD12_HUMAN Lysophosphatidylserine lipase ABHD12 OS=Homo sapiens OX=9606 GN=ABHD12 PE=1 SV=2	ABHD12	21.7657860807714	20.9504316378434	20.7642406335496	20.004217739129	21.4631069822149	20.5155126382222	20.689919107111	21.296677461331
O95870	>sp|O95870|ABHGA_HUMAN Phosphatidylserine lipase ABHD16A OS=Homo sapiens OX=9606 GN=ABHD16A PE=1 SV=3	ABHD16A	21.3315490005066	20.5571127814605	21.0701310135313	20.2295951002454	21.823053763986	21.0567910666756	21.096901651248	21.3352005212501
Q8TB40	>sp|Q8TB40|ABHD4_HUMAN (Lyso)-N-acylphosphatidylethanolamine lipase OS=Homo sapiens OX=9606 GN=ABHD4 PE=1 SV=1	ABHD4	19.5756393152099	18.6232916746342	17.9031465898492	17.0978997376387	20.1460768825348	19.1059382670434	18.4569010470709	18.690639611467
Q8IZP0	>sp|Q8IZP0|ABI1_HUMAN Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1 PE=1 SV=4	ABI1	20.8182321009515	20.9343474931935	20.8138142175496	21.1982684108969	20.6086120981353	21.2769468652958	20.8608811964897	20.5629485474591
Q9NYB9	>sp|Q9NYB9|ABI2_HUMAN Abl interactor 2 OS=Homo sapiens OX=9606 GN=ABI2 PE=1 SV=1	ABI2	19.7046072407888	20.0030577205457	19.8183163921484	19.7156375676064	19.2239565734092	20.0180368085834	19.4996794534991	19.3015657324233
Q12979	>sp|Q12979|ABR_HUMAN Active breakpoint cluster region-related protein OS=Homo sapiens OX=9606 GN=ABR PE=1 SV=2	ABR	19.2197632840089	19.9847093742386	19.9524415435981	20.4295019818742	19.4166128894397	20.2613414944276	20.0971944968064	19.6624825159486
Q9P1F3	>sp|Q9P1F3|ABRAL_HUMAN Costars family protein ABRACL OS=Homo sapiens OX=9606 GN=ABRACL PE=1 SV=1	ABRACL	21.8483997194055	21.0624422537172	23.8175642616771	22.9480611393368	22.9549674650052	23.22334828435	23.9935246267674	24.465354275879
Q15018	>sp|Q15018|ABRX2_HUMAN BRISC complex subunit Abraxas 2 OS=Homo sapiens OX=9606 GN=ABRAXAS2 PE=1 SV=2	ABRAXAS2	19.4374491664087	19.5525278120001	19.4916089753945	19.6845169849015	19.5644378041749	19.5965592991058	19.6127618989029	19.4914416491938
P09110	>sp|P09110|THIK_HUMAN 3-ketoacyl-CoA thiolase, peroxisomal OS=Homo sapiens OX=9606 GN=ACAA1 PE=1 SV=2	ACAA1	22.6354529860936	22.3815778484085	21.7250778719096	21.6354095406377	22.7654182361502	21.9057617120607	21.7104265219961	22.2686846468332
P42765	>sp|P42765|THIM_HUMAN 3-ketoacyl-CoA thiolase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAA2 PE=1 SV=2	ACAA2	23.453036112025	22.9302265526196	23.2045324506554	22.8167542187307	23.3668646944629	22.6117783976941	23.1905238717141	22.8232082181661
Q13085	>sp|Q13085|ACACA_HUMAN Acetyl-CoA carboxylase 1 OS=Homo sapiens OX=9606 GN=ACACA PE=1 SV=2	ACACA	19.2587323835811	19.6301836826799	20.5352964881448	20.8519454619681	19.4471429368681	20.2238572045127	20.905295565563	20.2492462575559
Q6JQN1	>sp|Q6JQN1|ACD10_HUMAN Acyl-CoA dehydrogenase family member 10 OS=Homo sapiens OX=9606 GN=ACAD10 PE=1 SV=1	ACAD10	19.520275069831	19.3663137875727	19.2988797228325	19.7112067794959	19.1762559237782	18.8651045266101	19.0313299070058	19.0485747061698
Q709F0	>sp|Q709F0|ACD11_HUMAN Acyl-CoA dehydrogenase family member 11 OS=Homo sapiens OX=9606 GN=ACAD11 PE=1 SV=3	ACAD11	20.3449487482794	19.6306675143422	20.3629198645828	18.7810845125548	20.9671883348239	20.0648401681202	20.6949436024559	19.607580851848
Q9UKU7	>sp|Q9UKU7|ACAD8_HUMAN Isobutyryl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAD8 PE=1 SV=1	ACAD8	21.4906402197209	21.2727519849739	20.6509769254178	20.2286006637724	21.4414186370315	21.115887323296	19.9787026347599	20.8626422614517
