protein_id	fasta_headers	gene_symbols_or_id	OE01897_Astroc_DIA_AA15_dil1n2_250ng	OE01879_Astroc_DIA_AA21_dil1n2_250ng	OE01903_Astroc_DIA_AA03_dil1n2_250ng	OE01901_Astroc_DIA_AA06_dil1n2_250ng	OE01881_Astroc_DIA_AA14_dil1n2_250ng	OE01908_Astroc_DIA_AA17_dil1n2_250ng	OE01888_Astroc_DIA_AA20_dil1n2_250ng
P01023	>sp|P01023|A2MG_HUMAN Alpha-2-macroglobulin OS=Homo sapiens OX=9606 GN=A2M PE=1 SV=3	A2M	21.0243781589422	22.3254929096299	21.6274808052809	20.7631446622351	19.8199443862976	22.6015144617642	21.8041681020435
Q9NRG9	>sp|Q9NRG9|AAAS_HUMAN Aladin OS=Homo sapiens OX=9606 GN=AAAS PE=1 SV=1	AAAS	20.4946899947123	18.8379871156609	20.1094339739496	20.3985763721745	20.7393137174346	21.3181358464818	20.8497638029824
Q2M2I8	>sp|Q2M2I8|AAK1_HUMAN AP2-associated protein kinase 1 OS=Homo sapiens OX=9606 GN=AAK1 PE=1 SV=3	AAK1	19.3722072239113	18.5327608892819	19.0095651451909	19.9041786777061	20.1294679960556	19.2807882903788	19.7681727931788
Q9H7C9	>sp|Q9H7C9|AAMDC_HUMAN Mth938 domain-containing protein OS=Homo sapiens OX=9606 GN=AAMDC PE=1 SV=1	AAMDC	22.396743261053	22.0568673017909	22.5541434762963	22.4484203312253	21.3570406144673	20.5206206941424	21.3142619071283
P49588	>sp|P49588|SYAC_HUMAN Alanine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=AARS1 PE=1 SV=2	AARS1	24.054791462845	24.1238701853197	23.9949696079505	24.2571473017739	22.2703430826179	21.8524839545706	22.39502418413
Q9BTE6	>sp|Q9BTE6|AASD1_HUMAN Alanyl-tRNA editing protein Aarsd1 OS=Homo sapiens OX=9606 GN=AARSD1 PE=1 SV=2	AARSD1	17.433485545699	19.0568556153411	18.0723185475562	17.9732772073172	19.7149003557068	19.2369846780017	19.3313891455661
P80404	>sp|P80404|GABT_HUMAN 4-aminobutyrate aminotransferase, mitochondrial OS=Homo sapiens OX=9606 GN=ABAT PE=1 SV=3	ABAT	20.5974386162188	20.7502895722651	21.5666460509386	20.3558572638717	18.8112980789884	20.5043202983398	19.6526819185977
O95477	>sp|O95477|ABCA1_HUMAN Phospholipid-transporting ATPase ABCA1 OS=Homo sapiens OX=9606 GN=ABCA1 PE=1 SV=3	ABCA1	19.8897677581857	20.2235936076378	20.0047054519311	19.6917309022773	18.8013097255806	19.20929471609	19.2524544823698
Q8N139	>sp|Q8N139|ABCA6_HUMAN ATP-binding cassette sub-family A member 6 OS=Homo sapiens OX=9606 GN=ABCA6 PE=1 SV=2	ABCA6	19.65306979767	19.3250182338967	19.4166410257496	19.6801545718495	19.1698981280825	19.8155192954902	19.3450259517637
Q9NP58	>sp|Q9NP58|ABCB6_HUMAN ATP-binding cassette sub-family B member 6 OS=Homo sapiens OX=9606 GN=ABCB6 PE=1 SV=1	ABCB6	25.7165989403684	25.6689858311965	26.1250791703152	26.0956057592214	26.3490353531104	25.5582984323274	26.2349822034841
O75027	>sp|O75027|ABCB7_HUMAN Iron-sulfur clusters transporter ABCB7, mitochondrial OS=Homo sapiens OX=9606 GN=ABCB7 PE=1 SV=2	ABCB7	19.733530809681	14.9364074773365	18.5485541339155	18.2147288362266	18.4739421673663	20.2153942955149	18.5017109355824
P33527	>sp|P33527|MRP1_HUMAN Multidrug resistance-associated protein 1 OS=Homo sapiens OX=9606 GN=ABCC1 PE=1 SV=3	ABCC1	19.6669043210983	19.0649963520426	20.0914075552083	19.7612039524854	20.1845165434959	20.744030494434	19.9984235287188
P28288	>sp|P28288|ABCD3_HUMAN ATP-binding cassette sub-family D member 3 OS=Homo sapiens OX=9606 GN=ABCD3 PE=1 SV=1	ABCD3	19.9989590519605	20.7855563596535	20.159681091738	19.8390757672038	21.332526855375	22.2233625587867	21.5218678454023
P61221	>sp|P61221|ABCE1_HUMAN ATP-binding cassette sub-family E member 1 OS=Homo sapiens OX=9606 GN=ABCE1 PE=1 SV=1	ABCE1	21.7982374999938	21.6574410338572	21.7843598405012	22.1209462623218	21.643723555385	21.0188109453892	21.3429742610064
Q9NUQ8	>sp|Q9NUQ8|ABCF3_HUMAN ATP-binding cassette sub-family F member 3 OS=Homo sapiens OX=9606 GN=ABCF3 PE=1 SV=2	ABCF3	21.1457644051674	21.0090899406778	20.9313585806036	20.8630879910503	19.5158865711135	18.6854522394644	19.4377860058974
