protein_id	fasta_headers	gene_symbols_or_id	OE01897_Astroc_DIA_AA15_dil1n2_250ng	OE01879_Astroc_DIA_AA21_dil1n2_250ng	OE01903_Astroc_DIA_AA03_dil1n2_250ng	OE01901_Astroc_DIA_AA06_dil1n2_250ng	OE01912_Astroc_DIA_AA01_dil1n2_250ng	OE01927_Astroc_DIA_AA04_dil1n2_250ng	OE01886_Astroc_DIA_AA07_dil1n2_250ng	OE01914_Astroc_DIA_AA10_dil1n2_250ng
P0DOX8	>sp|P0DOX8|IGL1_HUMAN Immunoglobulin lambda-1 light chain OS=Homo sapiens OX=9606 PE=1 SV=1	sp|P0DOX8|IGL1_HUMAN	23.4583353867528	23.7592034763946	23.6396782505251	22.8342740927414	22.8412586291402	22.0509610773714	23.1565873181256	22.327110366575
P01023	>sp|P01023|A2MG_HUMAN Alpha-2-macroglobulin OS=Homo sapiens OX=9606 GN=A2M PE=1 SV=3	A2M	20.9881817451557	22.527679735989	21.5829274268047	20.7704849220515	21.4150133085429	20.3697639110549	20.2711718578046	19.6766505971337
Q9NRG9	>sp|Q9NRG9|AAAS_HUMAN Aladin OS=Homo sapiens OX=9606 GN=AAAS PE=1 SV=1	AAAS	20.3948701153219	18.6827723396332	20.0224819365372	20.2932868000091	20.8111924853008	21.6741412077618	20.8493650363749	20.6905870737753
Q86V21	>sp|Q86V21|AACS_HUMAN Acetoacetyl-CoA synthetase OS=Homo sapiens OX=9606 GN=AACS PE=1 SV=1	AACS		17.6535638628606	17.8822244312827	18.3024385453363	16.9865351868748	16.2232784977219	17.1258047097714	16.6597449581519
Q2M2I8	>sp|Q2M2I8|AAK1_HUMAN AP2-associated protein kinase 1 OS=Homo sapiens OX=9606 GN=AAK1 PE=1 SV=3	AAK1	19.4983185275654	18.6214532707871	19.1599895409451	19.8124915699078	19.865112915286	19.6904746671813	19.3865956471186	20.2254169641753
Q9H7C9	>sp|Q9H7C9|AAMDC_HUMAN Mth938 domain-containing protein OS=Homo sapiens OX=9606 GN=AAMDC PE=1 SV=1	AAMDC	22.3043631438582	21.930277721782	22.3696627742818	22.3342780199211	20.38721258088	20.6887597079486	20.5234752175153	20.8650234131387
Q13685	>sp|Q13685|AAMP_HUMAN Angio-associated migratory cell protein OS=Homo sapiens OX=9606 GN=AAMP PE=1 SV=2	AAMP	19.6632641348453	20.3581164726143	20.2143925277058	20.5224193984172	18.9848951801137	19.5215278228861	19.7998604185151	20.1804880059987
P49588	>sp|P49588|SYAC_HUMAN Alanine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=AARS1 PE=1 SV=2	AARS1	23.9806736659528	24.0763532661908	23.9299825105624	24.1192983064519	21.8257153266338	22.4969061922548	22.557380108898	23.3358033776285
Q9BTE6	>sp|Q9BTE6|AASD1_HUMAN Alanyl-tRNA editing protein Aarsd1 OS=Homo sapiens OX=9606 GN=AARSD1 PE=1 SV=2	AARSD1	18.0834691753121	19.1560272223102	18.3553003681861	18.3996538633346	19.0945142630986	18.8902238627156	19.7036154967419	19.7067831459566
P80404	>sp|P80404|GABT_HUMAN 4-aminobutyrate aminotransferase, mitochondrial OS=Homo sapiens OX=9606 GN=ABAT PE=1 SV=3	ABAT	20.4902268542665	20.6184775048069	21.8924127083076	20.2482501538611	20.5900825787082	19.2403668229351	19.9311160901663	18.7341411304242
O95477	>sp|O95477|ABCA1_HUMAN Phospholipid-transporting ATPase ABCA1 OS=Homo sapiens OX=9606 GN=ABCA1 PE=1 SV=3	ABCA1	20.9250634285601	21.0218874432475	20.9951159779148	20.841353253088	20.587542099291	20.5405587190186	19.3247269569395	19.7802850250411
Q8N139	>sp|Q8N139|ABCA6_HUMAN ATP-binding cassette sub-family A member 6 OS=Homo sapiens OX=9606 GN=ABCA6 PE=1 SV=2	ABCA6	19.7133129334778	19.3854218931509	19.4465668097588	19.7005202839736	19.7222030580833	19.8282308593114	19.3792252713927	19.6070002783009
Q9NP58	>sp|Q9NP58|ABCB6_HUMAN ATP-binding cassette sub-family B member 6 OS=Homo sapiens OX=9606 GN=ABCB6 PE=1 SV=1	ABCB6	25.7768420761749	25.729389490448	26.1550049543234	26.1159714713449	25.7743540264019	26.1357341102061	25.8270975793146	26.5056542484536
O75027	>sp|O75027|ABCB7_HUMAN Iron-sulfur clusters transporter ABCB7, mitochondrial OS=Homo sapiens OX=9606 GN=ABCB7 PE=1 SV=2	ABCB7	19.7937739454887	14.9968111366506	18.5784799179255	18.2350945483516	20.4713377455058		17.9701423675271	17.9243645395844
Q9NUT2	>sp|Q9NUT2|MITOS_HUMAN Mitochondrial potassium channel ATP-binding subunit OS=Homo sapiens OX=9606 GN=ABCB8 PE=1 SV=3	ABCB8	20.2658124352589	19.5542268586059	20.1460449404967	19.9340121797322	19.4458448255867		18.5489976997496	19.0214693492881
P33527	>sp|P33527|MRP1_HUMAN Multidrug resistance-associated protein 1 OS=Homo sapiens OX=9606 GN=ABCC1 PE=1 SV=3	ABCC1	19.6706068962233	19.0663590834693	20.0770633886895	19.7311495211959	21.0322817963715	20.7158899306692	19.7799644704237	20.2498726862762
P28288	>sp|P28288|ABCD3_HUMAN ATP-binding cassette sub-family D member 3 OS=Homo sapiens OX=9606 GN=ABCD3 PE=1 SV=1	ABCD3	20.1200337258244	20.8722846831764	20.3584241887166	20.012544307025	22.0335368387705	21.2422377957461	21.9190262130524	21.1335858188225
P61221	>sp|P61221|ABCE1_HUMAN ATP-binding cassette sub-family E member 1 OS=Homo sapiens OX=9606 GN=ABCE1 PE=1 SV=1	ABCE1	21.4714226871199	21.3745232562432	21.5752313591732	21.6958075820046	20.5263342549236	21.2787264416383	21.3634071488757	21.9538825471653
Q9NUQ8	>sp|Q9NUQ8|ABCF3_HUMAN ATP-binding cassette sub-family F member 3 OS=Homo sapiens OX=9606 GN=ABCF3 PE=1 SV=2	ABCF3	21.2060075409744	21.0694935999301	20.9612843646122	20.883453703174		18.7504284468299	18.898043912066	19.2345783174462
Q9NUJ1	>sp|Q9NUJ1|ABHDA_HUMAN Palmitoyl-protein thioesterase ABHD10, mitochondrial OS=Homo sapiens OX=9606 GN=ABHD10 PE=1 SV=1	ABHD10	23.7942670129001	22.8939254247745	23.4498070091417	23.0019053766921	22.43985581881	21.683436555504	21.856412245014	22.1753871861626
Q8N2K0	>sp|Q8N2K0|ABD12_HUMAN Lysophosphatidylserine lipase ABHD12 OS=Homo sapiens OX=9606 GN=ABHD12 PE=1 SV=2	ABHD12	18.9148709587664	18.8068200972327	19.416289876006	18.6868154751781	19.665824831112	18.5234792021022	18.7165572503975	18.3712580668425
Q8TB40	>sp|Q8TB40|ABHD4_HUMAN (Lyso)-N-acylphosphatidylethanolamine lipase OS=Homo sapiens OX=9606 GN=ABHD4 PE=1 SV=1	ABHD4	17.8872850495293		18.4036870176723	16.8643784505343	18.7634281474945	17.8394988555513	17.097189941672	16.3188573247593
