protein_id	fasta_headers	gene_symbols_or_id	OE01897_Astroc_DIA_AA15_dil1n2_250ng	OE01879_Astroc_DIA_AA21_dil1n2_250ng	OE01903_Astroc_DIA_AA03_dil1n2_250ng	OE01901_Astroc_DIA_AA06_dil1n2_250ng	OE01892_Astroc_DIA_AA02_dil1n2_250ng	OE01921_Astroc_DIA_AA05_dil1n2_250ng	OE01877_Astroc_DIA_AA08_dil1n2_250ng	OE01875_Astroc_DIA_AA11_dil1n2_250ng
P01023	>sp|P01023|A2MG_HUMAN Alpha-2-macroglobulin OS=Homo sapiens OX=9606 GN=A2M PE=1 SV=3	A2M	21.5626158175934	22.8256636023426	22.0038506130995	21.2399056705318	21.5022012245263	20.8936140490163	19.4315685242162	20.2886779014233
Q9NRG9	>sp|Q9NRG9|AAAS_HUMAN Aladin OS=Homo sapiens OX=9606 GN=AAAS PE=1 SV=1	AAAS	20.7115584168636	19.0551914422814	20.3321491732137	20.5967920279007	21.3238551187417	21.1842335680767	20.9314681710452	20.7396010683866
Q6PD74	>sp|Q6PD74|AAGAB_HUMAN Alpha- and gamma-adaptin-binding protein p34 OS=Homo sapiens OX=9606 GN=AAGAB PE=1 SV=1	AAGAB	21.4946230269766		22.1774285044477	22.0485232070524	21.2421582450773	21.1449149618373	21.4244126567341	21.1992118404832
Q2M2I8	>sp|Q2M2I8|AAK1_HUMAN AP2-associated protein kinase 1 OS=Homo sapiens OX=9606 GN=AAK1 PE=1 SV=3	AAK1	19.4889863282806	18.5480135630842	19.2299114196265	19.8153785463626	20.0444663279525	20.2781611743414	20.4022841525455	19.9705193672731
Q9H7C9	>sp|Q9H7C9|AAMDC_HUMAN Mth938 domain-containing protein OS=Homo sapiens OX=9606 GN=AAMDC PE=1 SV=1	AAMDC	22.4509882300847	22.0811279571048	22.5671590143427	22.5005316692421	21.163312494533	21.6646370369442	21.6759686118807	21.2442610074496
Q13685	>sp|Q13685|AAMP_HUMAN Angio-associated migratory cell protein OS=Homo sapiens OX=9606 GN=AAMP PE=1 SV=2	AAMP	19.8913335457035	20.3652469540408	20.5521852014754	20.8303549578438	20.2760152429084	20.685811130589	20.4512342959998	20.1487341743115
P49588	>sp|P49588|SYAC_HUMAN Alanine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=AARS1 PE=1 SV=2	AARS1	23.8131672115025	23.8974796140809	23.7838767615749	23.9934929460635	22.0960326845665	22.6303438749375	22.9695146420452	22.2120427816741
Q9BTE6	>sp|Q9BTE6|AASD1_HUMAN Alanyl-tRNA editing protein Aarsd1 OS=Homo sapiens OX=9606 GN=AARSD1 PE=1 SV=2	AARSD1	18.2400944616534	19.3128278896748	18.5480897834407	18.5775038069359	19.607992470455	20.0582625223037	20.1617079904774	19.6352993266853
P80404	>sp|P80404|GABT_HUMAN 4-aminobutyrate aminotransferase, mitochondrial OS=Homo sapiens OX=9606 GN=ABAT PE=1 SV=3	ABAT	21.1571753833834	21.3005880339507	22.1394366933634	20.9947382044151	21.1291487182163	20.1468687422596	19.5824729291711	20.6763103450965
O95477	>sp|O95477|ABCA1_HUMAN Phospholipid-transporting ATPase ABCA1 OS=Homo sapiens OX=9606 GN=ABCA1 PE=1 SV=3	ABCA1	19.5812424973459	20.2694468513464	19.9166761007238	19.5923558865312	19.8463175965082	19.3265856679569	18.2931780742597	18.9865076220707
Q8N139	>sp|Q8N139|ABCA6_HUMAN ATP-binding cassette sub-family A member 6 OS=Homo sapiens OX=9606 GN=ABCA6 PE=1 SV=2	ABCA6	19.8699382198214	19.5422225605156	19.6393562250138	19.8783702275757	20.0206299680262	19.7366357880494	20.1242761241771	19.3392557130037
Q9NP58	>sp|Q9NP58|ABCB6_HUMAN ATP-binding cassette sub-family B member 6 OS=Homo sapiens OX=9606 GN=ABCB6 PE=1 SV=1	ABCB6	25.9334673625194	25.8861901578134	26.3477943695788	26.2938214149476	26.5679498209179	25.3999595478446	26.899811605483	26.4630972569212
O75027	>sp|O75027|ABCB7_HUMAN Iron-sulfur clusters transporter ABCB7, mitochondrial OS=Homo sapiens OX=9606 GN=ABCB7 PE=1 SV=2	ABCB7	19.9503992318324	15.1536118039864	18.7712693331803	18.4129444919528	19.1089787492141	18.941600127272	17.9327644885464	19.8350139337383
Q9NUT2	>sp|Q9NUT2|MITOS_HUMAN Mitochondrial potassium channel ATP-binding subunit OS=Homo sapiens OX=9606 GN=ABCB8 PE=1 SV=3	ABCB8	20.4224377216028	19.7110275259707	20.3388343557519	20.1118621233345	19.3002030044394		19.1548152498173	19.184241293221
P33527	>sp|P33527|MRP1_HUMAN Multidrug resistance-associated protein 1 OS=Homo sapiens OX=9606 GN=ABCC1 PE=1 SV=3	ABCC1	19.784857242116	19.1889040695069	20.2229182614803	19.877240872892	20.8987001908003	21.5145381335799	20.0289493489289	20.3679808384827
O15438	>sp|O15438|MRP3_HUMAN ATP-binding cassette sub-family C member 3 OS=Homo sapiens OX=9606 GN=ABCC3 PE=1 SV=3	ABCC3	20.202625085911		20.3702952340859	20.2051643272163	19.8001344992226	20.3626663991456	18.175521414327	19.0421702768949
P28288	>sp|P28288|ABCD3_HUMAN ATP-binding cassette sub-family D member 3 OS=Homo sapiens OX=9606 GN=ABCD3 PE=1 SV=1	ABCD3	20.8487976006949	21.1162252574131	20.8102249062987	20.3610690945942	23.0365053568812	23.1342934089585	22.7546460999089	22.8607131111852
P61221	>sp|P61221|ABCE1_HUMAN ATP-binding cassette sub-family E member 1 OS=Homo sapiens OX=9606 GN=ABCE1 PE=1 SV=1	ABCE1	21.5078141792781	21.5734565277331	21.8041539280051	21.9237751521227	21.5989200801241	22.2079381002921	22.1724791447243	21.7432381247632
Q9NUQ8	>sp|Q9NUQ8|ABCF3_HUMAN ATP-binding cassette sub-family F member 3 OS=Homo sapiens OX=9606 GN=ABCF3 PE=1 SV=2	ABCF3	21.3626328273185	21.2262942672953	21.1540737798675	21.0613036467765	19.6939409301962	19.8415377545877	19.8386445024465	19.5789752451428
Q9NUJ1	>sp|Q9NUJ1|ABHDA_HUMAN Palmitoyl-protein thioesterase ABHD10, mitochondrial OS=Homo sapiens OX=9606 GN=ABHD10 PE=1 SV=1	ABHD10	23.9643411432991	23.0196744753308	23.6285074665207	23.1527591036494	22.7897599387336	22.2979560895144	22.2090090635739	22.6512966425182
Q8N2K0	>sp|Q8N2K0|ABD12_HUMAN Lysophosphatidylserine lipase ABHD12 OS=Homo sapiens OX=9606 GN=ABHD12 PE=1 SV=2	ABHD12	20.1401347175667	20.231608127852	20.3268438734747	19.7022100511059	19.7384515115626	19.5365309941401	19.6802362425528	20.0604268172454
Q96IU4	>sp|Q96IU4|ABHEB_HUMAN Putative protein-lysine deacylase ABHD14B OS=Homo sapiens OX=9606 GN=ABHD14B PE=1 SV=1	ABHD14B	21.9716376221227	21.1444386366535	21.5954925533784	21.2180726167606		21.8736893195158	21.8046250446109	21.0956711890962
Q8TB40	>sp|Q8TB40|ABHD4_HUMAN (Lyso)-N-acylphosphatidylethanolamine lipase OS=Homo sapiens OX=9606 GN=ABHD4 PE=1 SV=1	ABHD4	18.0439103358704		18.5964764329268	17.0422283941321	19.6507360519102	18.7170389555828	17.9620229086005	18.1826447871449
Q8IZP0	>sp|Q8IZP0|ABI1_HUMAN Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1 PE=1 SV=4	ABI1	20.3400636926348	20.2737495444255	20.6689745662121	20.6180506752947	19.7219029784639	20.381204846205	19.7432902808001	19.548713739549
Q12979	>sp|Q12979|ABR_HUMAN Active breakpoint cluster region-related protein OS=Homo sapiens OX=9606 GN=ABR PE=1 SV=2	ABR	19.9972560373562	20.1025043449604	19.0758581991638	19.3044187269518	19.6030171993321	19.6842027239259	20.0542348223753	
Q15018	>sp|Q15018|ABRX2_HUMAN BRISC complex subunit Abraxas 2 OS=Homo sapiens OX=9606 GN=ABRAXAS2 PE=1 SV=2	ABRAXAS2	19.6035593746881	20.0267378309635	20.2330036921231	20.0106095451741	19.2856846783962	19.443869921487	19.5220313714584	19.3573915099712
Q9ULW3	>sp|Q9ULW3|ABT1_HUMAN Activator of basal transcription 1 OS=Homo sapiens OX=9606 GN=ABT1 PE=1 SV=1	ABT1	24.2149872533349	19.8837473344317	22.6548073515908	21.5461825861046	20.1175567601879	20.1503117619449	20.889336955344	20.8454678051348
P09110	>sp|P09110|THIK_HUMAN 3-ketoacyl-CoA thiolase, peroxisomal OS=Homo sapiens OX=9606 GN=ACAA1 PE=1 SV=2	ACAA1		19.7667479519498	21.1458191050456	20.9181841887975	23.6220527981768	23.0009539758206	22.1292523056784	22.7863153432735
P42765	>sp|P42765|THIM_HUMAN 3-ketoacyl-CoA thiolase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAA2 PE=1 SV=2	ACAA2	23.4114099658104	23.6159744774639	23.5640508097423	22.6716586760813	23.1428594057602	22.4171797975372	22.8898360587153	22.5915452873481
Q13085	>sp|Q13085|ACACA_HUMAN Acetyl-CoA carboxylase 1 OS=Homo sapiens OX=9606 GN=ACACA PE=1 SV=2	ACACA	19.8112248363397	20.0353471985354	18.8947029754059	19.8617992789311	18.3702478107511	18.807862974584	19.7626873105517	19.1718528133765
Q9UKU7	>sp|Q9UKU7|ACAD8_HUMAN Isobutyryl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAD8 PE=1 SV=1	ACAD8	18.7053375092643	18.3570536778482	19.652720409016	18.9704734328982	19.6793354070165	20.5915753032042	18.9098244494207	
Q9H845	>sp|Q9H845|ACAD9_HUMAN Complex I assembly factor ACAD9, mitochondrial OS=Homo sapiens OX=9606 GN=ACAD9 PE=1 SV=1	ACAD9	21.1496292062009	21.6716431821593	21.3603797192386	21.0342364588394	21.0504297170328	21.4237309079561	20.3446690922658	20.7735782295985
P11310	>sp|P11310|ACADM_HUMAN Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADM PE=1 SV=1	ACADM	21.7708691945832	23.2546408513225	22.6268795050747	22.7129611635339	22.2513609914594	22.2123389238324	21.6854849356102	21.6154620726424
P45954	>sp|P45954|ACDSB_HUMAN Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADSB PE=1 SV=1	ACADSB	19.9199447442061	19.4510529591894	20.7874117944005	20.2075813380573	21.515400046652	21.4049646609181	20.7686566961345	20.8064246128399
P49748	>sp|P49748|ACADV_HUMAN Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADVL PE=1 SV=1	ACADVL	22.8367262648489	23.0106260680265	22.7254400332248	23.2151974487754	22.5984044205822	22.7158553882993	22.2047624950229	22.6244834819448
