protein_id	fasta_headers	gene_symbols_or_id	OE01923_Astroc_DIA_AA13_dil1n2_250ng	OE01925_Astroc_DIA_AA16_dil1n2_250ng	OE01919_Astroc_DIA_AA19_dil1n2_250ng	OE01912_Astroc_DIA_AA01_dil1n2_250ng	OE01927_Astroc_DIA_AA04_dil1n2_250ng	OE01886_Astroc_DIA_AA07_dil1n2_250ng	OE01914_Astroc_DIA_AA10_dil1n2_250ng
P0DOX8	>sp|P0DOX8|IGL1_HUMAN Immunoglobulin lambda-1 light chain OS=Homo sapiens OX=9606 PE=1 SV=1	sp|P0DOX8|IGL1_HUMAN	21.9833983254891	23.3935782621553	24.2357353694199	22.7668814528344	21.8511652830061	22.8644011736498	22.0227000459711
Q6ZSR9	>sp|Q6ZSR9|YJ005_HUMAN Uncharacterized protein FLJ45252 OS=Homo sapiens OX=9606 PE=2 SV=2	sp|Q6ZSR9|YJ005_HUMAN	20.0939657779373	20.0459233704431	19.8649479825315	19.8411469794119	19.9808943928684	19.78762157856	20.6043320223708
P01023	>sp|P01023|A2MG_HUMAN Alpha-2-macroglobulin OS=Homo sapiens OX=9606 GN=A2M PE=1 SV=3	A2M	21.4051359397679	22.6664152548305	23.780037622089	22.0880293528301	21.1183891950758	21.1100855845685	20.4570411599859
Q9NRG9	>sp|Q9NRG9|AAAS_HUMAN Aladin OS=Homo sapiens OX=9606 GN=AAAS PE=1 SV=1	AAAS	20.2513028234161	20.5567169212261	20.3067476046668	20.1397604673506	20.2561433735315	20.3478152257475	19.9733903286027
Q2M2I8	>sp|Q2M2I8|AAK1_HUMAN AP2-associated protein kinase 1 OS=Homo sapiens OX=9606 GN=AAK1 PE=1 SV=3	AAK1	20.3639635460145	19.9199046762071	19.9808589706278	19.971020833297	20.236651800152	20.1684551651005	20.9749418847471
Q9H7C9	>sp|Q9H7C9|AAMDC_HUMAN Mth938 domain-containing protein OS=Homo sapiens OX=9606 GN=AAMDC PE=1 SV=1	AAMDC	21.2948131534645	20.9182238761814	21.4023574587632	21.120946270177	21.2818681276109	21.1793922280235	21.4253984854956
Q13685	>sp|Q13685|AAMP_HUMAN Angio-associated migratory cell protein OS=Homo sapiens OX=9606 GN=AAMP PE=1 SV=2	AAMP	18.1090946781552	18.1152706894972	18.1885591067123	18.1950457177787	18.5142491424694	18.4747372244728	18.9610391374622
Q9Y312	>sp|Q9Y312|AAR2_HUMAN Protein AAR2 homolog OS=Homo sapiens OX=9606 GN=AAR2 PE=1 SV=2	AAR2	17.0361440820422	16.3768492444206	16.9673096081966	16.708933981748	16.8835640115837	16.5293150577222	16.7562808480229
P49588	>sp|P49588|SYAC_HUMAN Alanine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=AARS1 PE=1 SV=2	AARS1	22.5701125983814	22.7005960601409	22.7552354389963	22.238831680889	22.9031513945635	23.1260572383275	23.8823141075184
Q5JTZ9	>sp|Q5JTZ9|SYAM_HUMAN Alanine--tRNA ligase, mitochondrial OS=Homo sapiens OX=9606 GN=AARS2 PE=1 SV=1	AARS2	19.2963428372792	19.2365321809954	19.2847129815129	19.8719093780084	19.1707626826376	18.4667356941418	18.7833391469853
