protein_id	fasta_headers	gene_symbols_or_id	OE01881_Astroc_DIA_AA14_dil1n2_250ng	OE01908_Astroc_DIA_AA17_dil1n2_250ng	OE01888_Astroc_DIA_AA20_dil1n2_250ng	OE01892_Astroc_DIA_AA02_dil1n2_250ng	OE01921_Astroc_DIA_AA05_dil1n2_250ng	OE01877_Astroc_DIA_AA08_dil1n2_250ng	OE01875_Astroc_DIA_AA11_dil1n2_250ng
Q6ZSR9	>sp|Q6ZSR9|YJ005_HUMAN Uncharacterized protein FLJ45252 OS=Homo sapiens OX=9606 PE=2 SV=2	sp|Q6ZSR9|YJ005_HUMAN	20.3275592252643	20.1381826737286	19.8721422632582	20.1569909485941	20.4834518063826	20.1471708297409	20.0630730098162
P01023	>sp|P01023|A2MG_HUMAN Alpha-2-macroglobulin OS=Homo sapiens OX=9606 GN=A2M PE=1 SV=3	A2M	21.2897887073557	23.8235191400053	23.3685280914677	22.3470613300208	21.7741843932953	20.2936761683134	20.9263967347196
Q9NRG9	>sp|Q9NRG9|AAAS_HUMAN Aladin OS=Homo sapiens OX=9606 GN=AAAS PE=1 SV=1	AAAS	20.8459977925464	21.0789084454775	20.8402647752182	20.977346660295	20.8674209329492	20.907036626451	20.7117687539412
Q2M2I8	>sp|Q2M2I8|AAK1_HUMAN AP2-associated protein kinase 1 OS=Homo sapiens OX=9606 GN=AAK1 PE=1 SV=3	AAK1	20.6886679402839	19.8000678878912	20.2914030499371	20.3016035216349	20.721360974801	20.7806518634387	20.4476691039521
Q9H7C9	>sp|Q9H7C9|AAMDC_HUMAN Mth938 domain-containing protein OS=Homo sapiens OX=9606 GN=AAMDC PE=1 SV=1	AAMDC	22.253079628366	21.206078638373	22.3436467803327	22.0710394570076	22.5692108271575	22.4965856422144	22.0909273233285
Q9Y312	>sp|Q9Y312|AAR2_HUMAN Protein AAR2 homolog OS=Homo sapiens OX=9606 GN=AAR2 PE=1 SV=2	AAR2	16.9761489635833	16.7374630620452	16.2323826540882	16.7827794223446	18.0185753885089	17.4643947081965	16.1622626963467
P49588	>sp|P49588|SYAC_HUMAN Alanine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=AARS1 PE=1 SV=2	AARS1	22.9721211089791	22.4005049682035	23.0278873863374	22.8523557579323	23.4285243284523	23.8090506699532	23.0501859459764
Q5JTZ9	>sp|Q5JTZ9|SYAM_HUMAN Alanine--tRNA ligase, mitochondrial OS=Homo sapiens OX=9606 GN=AARS2 PE=1 SV=1	AARS2	19.8672264083203	20.6719244731258	19.8458368381316	20.6149353744885	20.2715423307035	19.6239005030241	20.029865660039
Q9BTE6	>sp|Q9BTE6|AASD1_HUMAN Alanyl-tRNA editing protein Aarsd1 OS=Homo sapiens OX=9606 GN=AARSD1 PE=1 SV=2	AARSD1	20.2708278925124	21.2660060550018	21.1964565567267	20.4551198977543	21.3813219396687	21.3298219549668	20.6789534688487
Q9NRN7	>sp|Q9NRN7|ADPPT_HUMAN L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase OS=Homo sapiens OX=9606 GN=AASDHPPT PE=1 SV=2	AASDHPPT	21.4335275058409	20.8241997297752	21.6671238408593	21.7708687160602	19.7757853194132	22.2899466500188	21.436931613607
Q9UDR5	>sp|Q9UDR5|AASS_HUMAN Alpha-aminoadipic semialdehyde synthase, mitochondrial OS=Homo sapiens OX=9606 GN=AASS PE=1 SV=1	AASS	20.3559385278527	21.9132811421634	20.9143102910226	21.664855610042	20.4596409597429	20.2907313649214	20.5424043416114
P80404	>sp|P80404|GABT_HUMAN 4-aminobutyrate aminotransferase, mitochondrial OS=Homo sapiens OX=9606 GN=ABAT PE=1 SV=3	ABAT	19.3983522318907	21.0860208216075	20.4172273432547	21.1812477873529	20.1191011704006	19.7080787649705	20.8225832555323
O95477	>sp|O95477|ABCA1_HUMAN Phospholipid-transporting ATPase ABCA1 OS=Homo sapiens OX=9606 GN=ABCA1 PE=1 SV=3	ABCA1	20.4715120595296	20.7054782265276	21.0963093570381	21.1982499807839	20.9320871833855	20.0479969174459	20.8916087069046
