protein_id	fasta_headers	gene_symbols_or_id	OE01897_Astroc_DIA_AA15_dil1n2_250ng	OE01879_Astroc_DIA_AA21_dil1n2_250ng	OE01903_Astroc_DIA_AA03_dil1n2_250ng	OE01901_Astroc_DIA_AA06_dil1n2_250ng	OE01923_Astroc_DIA_AA13_dil1n2_250ng	OE01925_Astroc_DIA_AA16_dil1n2_250ng	OE01919_Astroc_DIA_AA19_dil1n2_250ng	OE01912_Astroc_DIA_AA01_dil1n2_250ng	OE01927_Astroc_DIA_AA04_dil1n2_250ng	OE01886_Astroc_DIA_AA07_dil1n2_250ng	OE01914_Astroc_DIA_AA10_dil1n2_250ng	OE01881_Astroc_DIA_AA14_dil1n2_250ng	OE01908_Astroc_DIA_AA17_dil1n2_250ng	OE01888_Astroc_DIA_AA20_dil1n2_250ng	OE01892_Astroc_DIA_AA02_dil1n2_250ng	OE01921_Astroc_DIA_AA05_dil1n2_250ng	OE01877_Astroc_DIA_AA08_dil1n2_250ng	OE01875_Astroc_DIA_AA11_dil1n2_250ng
P01023	>sp|P01023|A2MG_HUMAN Alpha-2-macroglobulin OS=Homo sapiens OX=9606 GN=A2M PE=1 SV=3	A2M	22.1009548187187	23.2017351787674	22.5454881071632	21.7687435616679	21.6305622820594	22.8916935069017	23.9033453401344	22.2552273490323	21.2684804296536	21.2974885185445	20.6637082420242	20.6817392458992	23.2962885922265	22.5593149383926	21.7009462669055	21.1724441087935	19.6424605815459	20.39172004979
Q9NRG9	>sp|Q9NRG9|AAAS_HUMAN Aladin OS=Homo sapiens OX=9606 GN=AAAS PE=1 SV=1	AAAS	20.3676071155029	18.2835667638208	20.2859593046518	20.4936041687486	22.2323825261258	22.692819380028	22.2450439936841	22.0311574662079	22.1279111055834	21.7643463909985	21.8041401172968	21.3469924432671	22.5242334411275	21.8044489117838	22.1708469943333	21.925541500388	21.3915452111927	21.1656974713965
Q2M2I8	>sp|Q2M2I8|AAK1_HUMAN AP2-associated protein kinase 1 OS=Homo sapiens OX=9606 GN=AAK1 PE=1 SV=3	AAK1	20.7011388181715	19.9188855179866	20.3459350701855	20.4318134467254	21.1656445015659	20.818038125126	21.0215199624875	21.0278799855627	21.1343798386418	20.7842893864064	21.6196380255552	21.273841994575	20.6218513460726	21.1640730373714	21.033262537985	21.494502469862	21.5189314432119	21.1525176671308
Q9H7C9	>sp|Q9H7C9|AAMDC_HUMAN Mth938 domain-containing protein OS=Homo sapiens OX=9606 GN=AAMDC PE=1 SV=1	AAMDC	22.8934622589899	22.5592902038036	23.1079965731944	22.9707183816972	21.288950687923	20.9538308717431	21.3957270129399	21.0921363233615	21.277924206106	21.1210611221629	21.4073767374187	21.6014363386233	20.8448482917156	21.6178490037429	21.3902702394807	21.8643387938028	21.7807049781972	21.3581298245128
P49588	>sp|P49588|SYAC_HUMAN Alanine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=AARS1 PE=1 SV=2	AARS1	24.7010642912991	24.7787362524177	24.6481764237145	24.8504190229736	22.7194956873206	22.9898597420431	23.0329927607275	22.4930232740767	23.1585300511299	23.2449382944077	24.0557663552963	22.7473363167795	22.3012538469508	22.8832597155082	22.6237329983604	23.2396309393441	23.5234487300214	22.7569997428963
Q9BTE6	>sp|Q9BTE6|AASD1_HUMAN Alanyl-tRNA editing protein Aarsd1 OS=Homo sapiens OX=9606 GN=AARSD1 PE=1 SV=2	AARSD1	17.9432130027333	19.5836889603975	18.5401726642761	18.4298534928559	19.7426458743642	19.6943018559314	20.2390428267686	20.2155626432947	20.0058081194796	20.4807402153945	20.8057163124009	20.0497567106288	19.5685643586504	19.6958034370535	19.8762546976338	20.6967472448369	20.2742059497309	19.6786001777861
P80404	>sp|P80404|GABT_HUMAN 4-aminobutyrate aminotransferase, mitochondrial OS=Homo sapiens OX=9606 GN=ABAT PE=1 SV=3	ABAT	20.9397111754623	21.0849071906054	22.3303410409992	20.6844607272573	19.6839709170426	20.5965014648169	21.4568045152505	20.9930657616062	19.6535532334477	20.3194651549715	19.1544970987178	18.8890836654659	20.6460343341859	19.7600254416373	20.5655189226047	19.6033937390715	19.1488226783292	20.2355408910373
O95477	>sp|O95477|ABCA1_HUMAN Phospholipid-transporting ATPase ABCA1 OS=Homo sapiens OX=9606 GN=ABCA1 PE=1 SV=3	ABCA1	21.3426851725589	21.4935814351152	21.4605217927714	21.2830371642515	20.6748961755844	21.0084208676551	21.8958847871023	21.0422338433868	20.8915436335981	19.7552469418827	20.1253375910258	20.3621928068296	20.6402525113323	20.8222229894104	20.906799101366	20.6323118805309	20.215081807358	20.6629789169431
Q8N139	>sp|Q8N139|ABCA6_HUMAN ATP-binding cassette sub-family A member 6 OS=Homo sapiens OX=9606 GN=ABCA6 PE=1 SV=2	ABCA6	20.1627972546759	19.8518515789516	19.8844951424565	20.1367308573716	20.2092891902436	20.9452566543291	20.2206303534155	20.1251862409822	20.2414172698225	19.7675743361988	20.0273562465911	19.5047544830057	20.1470989761376	19.709440243251	19.9907083816695	19.7456534687594	20.1447196495439	19.3324360179807
Q9NP58	>sp|Q9NP58|ABCB6_HUMAN ATP-binding cassette sub-family B member 6 OS=Homo sapiens OX=9606 GN=ABCB6 PE=1 SV=1	ABCB6	26.2263263973666	26.1958191762444	26.5929332870137	26.552182044736	26.1378685154015	25.8964437644007	26.518607484307	26.1773372092985	26.5489205207145	26.2154466441173	26.9260102167401	26.6838917080298	25.8898781129725	26.5993964949669	26.5380282345583	25.4089772285504	26.9202551308463	26.4562775618919
